Country,Continent,Year,TotalPopulation,CO2_Emission,TotalEnergy_Consumption
Indonesia,Asia,2003,220309469,325.31,165
Japan,Asia,2003,127718000,1161.6,509
Malaysia,Asia,2003,24698819,135.88,56
South Korea,Asia,2003,23542426,464.85,206
Taiwan,Asia,2003,22419792,248.37,97
Thailand,Asia,2003,64549866,184.65,89
Australia,Oceania,2003,19895400,353.89,111
New Zealand,Oceania,2003,4027200,32.64,17
Algeria,Africa,2003,32264157,74.88,31
Egypt,Africa,2003,72826097,120.59,49
Nigeria,Africa,2003,131900631,55.62,98
South Africa,Africa,2003,46719203,363.85,111
Iran,Asia,2003,68122938,365.51,143
Kuwait,Asia,2003,2161626,54.84,22
Saudi Arabia,Asia,2003,22456649,276.55,113
United Arab Emirates,Asia,2003,3711932,99.28,39
Belgium,Europe,2004,10421137,114.82,58
Czech Republic,Europe,2004,10197101,123.65,46
France,Europe,2004,62704895,388.89,271
Germany,Europe,2004,82516260,820.36,340
Italy,Europe,2004,57685327,460,183
Netherlands,Europe,2004,16281779,191.35,81
Poland,Europe,2004,38182222,303.55,91
Portugal,Europe,2004,10483861,60.05,26
Romania,Europe,2004,21451748,94.23,39
